rating,playtime,achievements_count,game_series_count,reviews_count
0.0,0,0,0,3
0.0,0,0,0,1
3.15,14,106,0,55
0.0,4,0,0,0
0.0,0,0,0,1
0.0,1,38,0,5
0.0,0,0,0,1
0.0,1,0,0,0
3.22,1,0,0,18
2.73,3,31,0,51
3.14,9,156,0,7
0.0,0,20,0,0
3.92,2,0,0,53
0.0,2,0,0,2
3.58,3,206,0,139
3.58,3,25,0,24
0.0,1,18,0,4
4.02,4,0,0,192
3.5,1,0,0,6
0.0,1,22,0,4
2.57,5,40,0,46
0.0,0,0,0,1
1.86,4,12,0,14
0.0,1,0,0,0
0.0,0,0,0,0
3.05,2,53,0,113
0.0,0,0,0,0
1.71,4,16,0,7
3.55,2,43,0,11
0.0,1,18,0,1
2.0,4,8,0,19
0.0,0,0,0,0
0.0,0,0,0,0
0.0,1,13,0,3
0.0,0,20,0,0
0.0,0,0,0,0
1.63,1,0,0,41
4.21,4,0,4,24
0.0,0,0,2,1
0.0,0,0,0,0
3.28,4,16,0,18
0.0,3,0,0,1
0.0,4,36,0,0
2.14,3,0,0,7
3.7,6,118,0,50
0.0,0,0,0,3
3.23,2,82,0,62
3.25,8,15,0,12
3.0,4,52,0,20
3.12,1,118,0,32
0.0,0,0,0,1
0.0,0,0,0,0
0.0,1,11,0,4
0.0,0,0,0,0
0.0,1,2,0,2
0.0,5,1,0,5
0.0,6,10,0,5
0.0,1,0,0,2
3.21,5,71,0,14
4.14,1,0,0,22
0.0,0,0,0,1
3.68,0,5,0,19
2.71,3,22,0,7
0.0,0,0,0,0
0.0,1,0,0,1
4.22,2,22,0,9
0.0,7,36,0,1
1.7,1,26,0,20
0.0,0,0,0,1
0.0,0,0,0,0
0.0,5,0,0,1
0.0,0,0,0,0
3.17,1,24,0,63
3.68,1,12,1,31
3.75,3,33,0,65
0.0,0,0,0,0
2.87,1,24,0,107
0.0,0,0,0,0
0.0,4,0,0,0
0.0,6,12,0,1
0.0,1,43,0,1
2.5,3,322,0,36
3.54,1,0,0,67
4.28,7,0,5,111
0.0,0,0,0,2
0.0,0,0,0,2
3.5,2,50,0,325
2.48,1,100,0,217
0.0,0,0,0,1
3.93,5,20,0,15
0.0,0,0,0,0
0.0,0,0,0,0
0.0,4,13,0,0
4.0,2,0,0,8
3.43,4,18,0,14
0.0,0,0,0,0
3.33,4,60,0,9
3.3,3,22,0,70
0.0,6,42,0,0
3.33,3,43,0,6
0.0,0,0,0,0
0.0,4,64,0,3
3.57,2,84,0,61
0.0,1,10,0,0
0.0,26,0,0,2
3.68,3,1,0,19
1.88,6,18,0,25
0.0,0,0,0,0
0.0,1,52,0,1
0.0,0,0,0,0
0.0,0,0,0,0
3.93,7,20,1,153
0.0,0,0,0,0
2.14,1,50,0,73
0.0,0,0,0,1
3.08,4,98,0,85
0.0,0,0,0,0
0.0,0,0,0,0
0.0,0,0,0,0
2.72,4,56,0,134
0.0,0,0,0,0
0.0,0,0,0,0
0.0,0,0,0,0
0.0,0,29,0,3
0.0,4,46,0,0
0.0,0,0,0,0
0.0,9,20,0,3
3.93,4,0,0,69
0.0,0,0,0,0
0.0,4,47,0,2
3.4,1,20,4,252
0.0,2,81,0,0
0.0,4,102,0,1
0.0,3,20,0,1
3.76,4,16,0,42
3.4,4,361,0,15
0.0,0,0,0,0
3.59,4,48,0,66
2.43,1,73,0,168
2.46,3,27,0,13
0.0,0,0,0,0
3.53,3,50,0,17
2.31,1,27,0,26
0.0,1,84,0,3
3.33,4,0,0,12
0.0,0,0,0,0
0.0,1,0,0,1
0.0,1,0,0,4
4.33,1,0,0,60
0.0,0,0,0,1
0.0,3,16,0,2
0.0,5,24,0,1
2.66,2,79,0,83
3.23,2,44,0,30
0.0,0,0,0,0
0.0,0,0,0,0
2.75,3,48,0,8
0.0,0,0,0,0
0.0,0,0,0,0
0.0,1,0,0,2
0.0,2,25,0,5
0.0,4,12,0,0
2.42,2,11,0,24
0.0,0,0,0,0
3.64,5,231,3,435
0.0,3,70,0,5
0.0,2,57,0,2
0.0,0,12,0,0
3.66,1,43,0,186
0.0,4,35,0,1
0.0,0,0,0,1
0.0,0,0,0,0
0.0,0,0,0,0
4.28,4,0,0,410
3.53,2,0,0,32
3.48,1,0,0,23
0.0,0,0,0,0
0.0,0,0,0,0
1.86,4,12,0,7
0.0,0,0,0,0
0.0,0,18,0,2
0.0,4,25,0,4
4.08,5,78,3,167
4.11,5,131,3,210
3.64,4,105,0,282
3.63,4,43,0,136
0.0,0,0,0,0
2.79,2,0,2,135
0.0,0,0,0,0
0.0,2,5,0,4
0.0,0,0,0,0
1.64,2,0,0,14
3.42,4,0,0,120
2.93,5,22,0,15
0.0,0,0,0,0
0.0,1,1,0,3
1.86,5,0,0,14
0.0,5,0,0,5
0.0,0,0,0,0
0.0,1,58,0,0
1.79,1,10,0,48
0.0,1,11,0,5
3.2,3,81,1,15
0.0,0,0,0,0
3.53,1,0,0,49
3.7,1,0,0,186
2.94,1,0,0,66
3.51,1,0,0,43
0.0,0,0,0,0
3.74,1,0,0,133
4.35,3,57,2,629
4.37,2,0,2,965
0.0,0,0,0,0
0.0,0,0,0,0
3.59,3,47,2,345
0.0,0,68,0,5
0.0,3,9,0,4
0.0,0,0,0,0
3.68,3,8,0,50
0.0,0,0,0,0
0.0,0,0,0,0
3.83,0,12,0,6
0.0,0,0,0,0
3.29,6,202,4,187
0.0,1,0,0,0
0.0,5,24,0,3
3.46,8,45,0,118
3.22,5,46,0,23
0.0,0,0,0,3
3.83,9,0,0,12
0.0,2,0,0,0
0.0,0,0,0,0
4.31,4,93,0,146
2.58,5,104,0,101
0.0,2,0,0,0
4.58,5,42,0,12
0.0,0,0,0,0
0.0,1,0,0,0
0.0,0,0,0,1
2.62,3,32,0,24
0.0,4,36,0,5
2.62,2,30,0,45
3.06,4,24,0,16
0.0,1,0,0,1
0.0,5,30,0,0
0.0,4,20,0,2
3.0,3,31,0,7
4.1,5,239,0,686
0.0,0,0,0,0
4.08,14,192,0,882
3.21,3,92,0,99
3.77,1,6,0,316
4.04,1,0,0,49
3.26,2,22,0,108
2.7,3,76,0,10
3.5,2,12,0,10
0.0,0,0,0,4
4.25,4,6,0,8
4.32,1,0,2,148
4.47,1,0,0,19
4.23,4,0,2,144
0.0,1,0,0,2
0.0,0,0,0,0
2.5,1,6,0,6
0.0,0,0,0,3
2.69,5,121,0,16
3.02,1,0,0,51
2.91,1,69,0,77
0.0,0,0,0,1
0.0,0,0,0,0
0.0,0,0,0,0
0.0,0,0,0,1
3.16,4,31,3,76
3.13,3,29,1,91
3.0,3,18,0,36
0.0,0,0,0,1
3.8,1,0,0,131
4.19,1,0,0,182
4.12,1,0,0,114
0.0,3,11,0,0
0.0,0,0,0,4
2.5,7,205,0,8
1.5,4,0,0,8
1.86,2,71,1,63
0.0,0,0,0,0
3.56,4,39,0,41
1.57,4,0,0,7
1.33,4,0,0,6
0.0,7,17,0,0
0.0,4,13,0,0
0.0,6,13,0,0
0.0,10,15,0,3
0.0,4,18,0,1
0.0,7,13,0,2
0.0,0,0,2,1
3.62,5,172,0,21
3.14,3,15,0,433
3.67,3,51,0,6
2.52,3,0,0,317
4.28,8,108,1,692
0.0,0,0,0,1
2.74,1,110,0,34
2.74,2,31,0,19
3.0,4,102,0,39
0.0,3,24,0,0
0.0,1,0,0,2
0.0,4,77,0,3
4.17,2,48,0,6
0.0,5,47,0,1
0.0,1,0,0,4
3.11,1,0,0,9
0.0,0,0,0,2
0.0,0,0,0,0
0.0,0,0,0,0
3.07,1,0,0,45
3.71,2,0,0,24
3.88,1,0,0,80
2.94,3,0,0,52
3.77,1,0,0,13
3.72,2,0,0,76
0.0,0,15,0,2
0.0,0,0,0,0
3.79,1,0,0,34
0.0,0,8,0,0
0.0,0,0,0,0
0.0,0,0,0,0
0.0,5,2,0,1
0.0,0,0,0,0
0.0,3,119,0,0
2.44,1,2,0,27
0.0,0,12,0,0
0.0,0,0,0,0
3.73,3,46,0,280
3.4,5,134,0,42
2.57,1,0,0,7
